shipment_wk,shipment_dt,region,fc,sub_hub,shippingtype,isfresh,actual_packgroup,actual_boxname,sku_band,cate2,cate3,cate4,cate5,skuseq,skuname,ordernumber,invoicenumber,units
29,2023-07-16,South,DAEGU,GWJ2 Sub-hub,OVERNIGHT,CORE,SIOC,SIOCs,B,식품,생수/음료,멸균우유,멸균우유,356611,BOX_매일유업 멸균우유딸기 200ml 24팩,21100002206791,10249141293215,1
29,2023-07-18,South,ANS8,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,C,식품,생수/음료,음료,과일음료,52930,BOX_웅진_자연은토마토_340ML*24(Pet),7100002491559,10249242265533,1
29,2023-07-17,South,YON1,GMH1 Sub-hub,STANDARD,CORE,PAPER,무지1,B,식품,생수/음료,음료,숙취/비타민/에너지음료,24339262,"해태htb 영진 구론산 오리지날, 150ml, 20병, 선물세트",22100002354463,10249215879184,1
29,2023-07-19,South,BUC1,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,생활용품,세제류,세탁세제류,일반세탁세제,16584824,Box_살림백서 대용량 세탁세제 드럼 일반겸용 리필 2L 3개입,3100002600668,10249280940813,1
29,2023-07-18,South,INC5,GWJ2 Sub-hub,STANDARD,CORE,SIOC,CSTMs,A,반려/애완용품,고양이용품,사료,건식사료,11105324,탐사 전연령 고양이사료 점보_20kg,25100002557501,10249269246602,1
29,2023-07-20,South,ECH1,GMH1 Sub-hub,STANDARD,CORE,TPB,TPB 1호,A,식품,신선식품,쌀/잡곡류,백미,9828638,소중한 우리쌀 10kg,2100002807847,10249361006172,1
29,2023-07-21,South,ANS4,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,D,생활용품,청소/세탁/욕실용품,세탁/건조용품,빨래통,26732219,라탄 대용량 손잡이 빨래 바구니 분리수거함 60L / 아이보리+그레이,16100002872059,10249381523231,1
29,2023-07-19,South,HOB1,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,D,식품,생수/음료,음료,커피음료,13222044,유씨씨 블랙커피 185g 30개입,10100002723280,10249328438510,1
29,2023-07-16,South,ANS8,GMH1 Sub-hub,STANDARD,CORE,TPB,TPB 1호,A,생활용품,세제류,세탁세제류,일반세탁세제,33499342,퍼실 라벤더젤 플러스 드럼용 2.7L,32100002216345,10249147517906,1
29,2023-07-16,South,GWJ4,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,D,식품,생수/음료,음료,과일음료,12240822,Box_푸르티 오렌지 120mL 24입,23100002258998,10249162728442,1
29,2023-07-17,South,DAEGU2,GWJ2 Sub-hub,OVERNIGHT,CORE,TPB,TPB 2호,A,생활용품,세제류,청소용세제류,기타청소용세제,10790589,"유한락스 멀티액션 곰팡이제거제 510ml, 3개입",30100002370293,10249199721353,1
29,2023-07-21,South,SAN2,GWJ2 Sub-hub,STANDARD,CORE,TPB,TPB 1호,A,식품,신선식품,쌀/잡곡류,백미,33794135,당진 해나루 쌀 10kg,16100002941256,10249406660905,1
29,2023-07-19,South,GMH2,GMH1 Sub-hub,STANDARD,CORE,TPB,TPB11,A,생활용품,세제류,세탁세제류,일반세탁세제,33539758,퍼실 라벤더젤 플러스 일반용 2.7L,26100002713055,10249326976733,1
29,2023-07-18,South,YAS1,GMH1 Sub-hub,STANDARD,CORE,TPB,TPB 1호,A,생활용품,세제류,세탁세제류,일반세탁세제,12107184,다우니 프리미엄 액체형 세제 냄새딥클린 실내건조 3L,2100002446759,10249232903523,1
29,2023-07-20,South,DON1,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),B,가전디지털,컴퓨터/게임,컴퓨터주변기기,마우스,28383359,로지텍 G304 LIGHTSPEED 게이밍 무선 마우스 M-R0071,27100002717974,10249328482536,1
29,2023-07-16,South,DAEGU2,GMH1 Sub-hub,SAMEDAY,CORE,PLASTIC,RPB2.5(50),C,식품,스낵/간식,초콜릿/사탕/젤리/껌,젤리/푸딩,14625056,Pack_팔도 뽀로로 과일맛 젤리 53g 12개입,14100002185008,10249135123824,1
29,2023-07-20,South,MAJ1,GWJ2 Sub-hub,STANDARD,CORE,TPB,TPB 1호,C,생활용품,세제류,세탁세제류,일반세탁세제,31698645,다우니 프리미엄 액체형 세제 실내건조 2.8L,8100002833568,10249364568590,1
29,2023-07-20,South,CHW1,GMH1 Sub-hub,SAMEDAY,CORE,PLASTIC,RPB2.5(50),E,뷰티,헤어케어,샴푸/린스,샴푸,10412248,프로방스 바이올렛 샴푸 1L,15100002743089,10249335715231,1
29,2023-07-22,South,GWJ4,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB 3.5,C,뷰티,바디케어,바디워시/스크럽/입욕용품,바디워시/클렌저,17123345,제이멜라 인 프랑스 라임 앤 바질 바디 워시 1000ml,5100003034361,10249438430291,3
29,2023-07-22,South,DAEGU2,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,E,생활용품,청소/세탁/욕실용품,청소용품,밀대형청소용품,10016306,Box_ 물걸레청소포 고급형 표준형 25매 6팩(TNC),11100002963516,10249413927001,1
